TIMESTAMPms	M100GLOBALPOSITIONINTlat	M100GLOBALPOSITIONINTlon	M100VFRHUDalt
63984	4.18803e+08	1.27034e+08	3.44109
64100	4.18803e+08	1.27034e+08	3.20658
64638	4.18803e+08	1.27034e+08	3.20658
65057	4.18803e+08	1.27034e+08	3.20658
65186	4.18803e+08	1.27034e+08	3.20658
65739	4.18803e+08	1.27034e+08	3.20658
66088	4.18803e+08	1.27034e+08	3.20658
66146	4.18803e+08	1.27034e+08	3.20658
66621	4.18803e+08	1.27034e+08	3.20658
67071	4.18803e+08	1.27034e+08	3.20658
67203	4.18803e+08	1.27034e+08	3.20658
67750	4.18803e+08	1.27034e+08	3.20658
67964	4.18803e+08	1.27034e+08	3.20658
68126	4.18803e+08	1.27034e+08	3.20658
68658	4.18803e+08	1.27034e+08	3.20658
69044	4.18803e+08	1.27034e+08	3.20658
69144	4.18803e+08	1.27034e+08	3.20658
69191	4.18803e+08	1.27034e+08	3.20658
69740	4.18803e+08	1.27034e+08	3.20658
70114	4.18803e+08	1.27034e+08	3.20658
70667	4.18803e+08	1.27034e+08	3.20658
71054	4.18803e+08	1.27034e+08	3.20658
71218	4.18803e+08	1.27034e+08	3.20658
71754	4.18803e+08	1.27034e+08	3.20658
72017	4.18803e+08	1.27034e+08	3.20658
72086	4.18803e+08	1.27034e+08	3.20658
72640	4.18803e+08	1.27034e+08	3.20658
73097	4.18803e+08	1.27034e+08	3.20658
73181	4.18803e+08	1.27034e+08	3.20658
73736	4.18803e+08	1.27034e+08	3.20658
73984	4.18799e+08	1.27035e+08	3.20658
74129	4.18799e+08	1.27035e+08	-0.621924
74646	4.18799e+08	1.27035e+08	-3.68966
75097	4.18799e+08	1.27035e+08	-3.68966
75199	4.18799e+08	1.27035e+08	-4.16503
75606	4.18799e+08	1.27035e+08	-4.31659
76026	4.18799e+08	1.27035e+08	-4.31659
76141	4.18799e+08	1.27035e+08	-4.42611
76692	4.18799e+08	1.27035e+08	-4.52782
77096	4.18799e+08	1.27035e+08	-4.52782
77227	4.18799e+08	1.27035e+08	-4.66307
77761	4.18799e+08	1.27035e+08	-4.78804
77977	4.18799e+08	1.27035e+08	-4.78804
78124	4.18799e+08	1.27035e+08	-4.91068
78704	4.18799e+08	1.27035e+08	-5.03991
79105	4.18799e+08	1.27035e+08	-5.03991
79269	4.18799e+08	1.27035e+08	-5.17446
79614	4.18799e+08	1.27035e+08	-5.29372
79986	4.18799e+08	1.27035e+08	-5.29372
80148	4.18799e+08	1.27035e+08	-5.44521
80686	4.18799e+08	1.27035e+08	-5.57518
81075	4.18799e+08	1.27035e+08	-5.57518
81236	4.18799e+08	1.27035e+08	-5.65333
81772	4.18799e+08	1.27035e+08	-5.74073
82034	4.18799e+08	1.27035e+08	-5.74073
82163	4.18799e+08	1.27035e+08	-5.84676
82713	4.18799e+08	1.27035e+08	-5.93845
83099	4.18799e+08	1.27035e+08	-5.93845
83260	4.18799e+08	1.27035e+08	-6.02139
83840	4.18799e+08	1.27035e+08	-6.12889
84054	4.18799e+08	1.27035e+08	-6.12889
84121	4.18799e+08	1.27035e+08	-6.24088
84674	4.18799e+08	1.27035e+08	-6.32796
85143	4.18799e+08	1.27035e+08	-6.32796
85210	4.18799e+08	1.27035e+08	-6.40337
85604	4.18799e+08	1.27035e+08	-6.49751
86069	4.18799e+08	1.27035e+08	-6.49751
86152	4.18799e+08	1.27035e+08	-6.56117
86684	4.18799e+08	1.27035e+08	-6.62281
87151	4.18799e+08	1.27035e+08	-6.62281
87236	4.18799e+08	1.27035e+08	-6.72039
87645	4.18799e+08	1.27035e+08	-6.81464
88097	4.18799e+08	1.27035e+08	-6.81464
88228	4.18799e+08	1.27035e+08	-6.88747
88606	4.18799e+08	1.27035e+08	-7.01771
89008	4.18799e+08	1.27035e+08	-7.01771
89168	4.18799e+08	1.27035e+08	-7.10794
89701	4.18799e+08	1.27035e+08	-7.17609
90105	4.18799e+08	1.27035e+08	-7.17609
90234	4.18799e+08	1.27035e+08	-7.24364
90784	4.18799e+08	1.27035e+08	-7.27752
90983	4.18799e+08	1.27035e+08	-7.27752
91128	4.18799e+08	1.27035e+08	-7.28853
91678	4.18799e+08	1.27035e+08	-7.29178
92115	4.18799e+08	1.27035e+08	-7.29178
92291	4.18799e+08	1.27035e+08	-7.28337
92604	4.18799e+08	1.27035e+08	-7.30085
93006	4.18799e+08	1.27035e+08	-7.30085
93151	4.18799e+08	1.27035e+08	-7.31513
93683	4.18799e+08	1.27035e+08	-7.31842
94184	4.18799e+08	1.27035e+08	-7.31842
95894	4.18799e+08	1.27035e+08	-7.32863
95999	4.18799e+08	1.27035e+08	-7.32863
96225	4.18799e+08	1.27035e+08	-7.33308
96601	4.18799e+08	1.27035e+08	-7.33694
97151	4.18799e+08	1.27035e+08	-7.3588
97183	4.18799e+08	1.27035e+08	-7.3588
98077	4.18799e+08	1.27035e+08	-7.01351
98702	4.18799e+08	1.27035e+08	-6.79749
