TIMESTAMPms	M100VFRHUDalt
740760	29.8507
741121	29.8507
741655	29.8507
742159	29.8507
742659	28.9529
743191	28.8478
743740	29.3662
744224	29.9174
744630	30.6879
745133	31.4595
745632	32.0279
746181	32.4148
746731	32.4148
747121	32.4148
747734	32.4148
748129	32.4148
748709	32.4148
749213	32.4148
749749	32.4148
750140	32.4148
750642	32.4148
751142	32.4148
751643	32.4148
752161	32.4148
752646	32.4148
753147	32.4148
753697	32.4148
754245	32.4148
754640	32.4148
755173	32.4148
755705	32.4148
756306	32.4148
756747	32.4148
757234	32.4148
757725	32.4148
758135	32.4148
758660	32.4148
759210	32.4148
759758	32.4148
760201	32.4148
760708	32.4148
761150	32.4148
761685	32.4148
762235	32.4148
762775	32.4148
763139	32.4148
763723	32.4148
764262	32.4148
764798	32.4148
765162	32.4148
765697	32.4148
766250	32.4148
766789	32.4148
767184	32.4148
767705	32.4148
768212	32.4148
768722	32.4148
769277	32.4148
769702	32.4148
770302	32.4148
770726	32.4148
771187	32.4148
771694	32.4148
772212	32.4148
772641	32.4148
773146	32.4148
773640	32.4148
774112	32.4148
774604	32.4148
775726	32.4148
778628	32.4148
779177	32.4148
779666	32.4148
780196	32.4148
780612	32.4148
781206	32.4148
782614	32.4148
783141	32.4148
783655	32.4148
784124	32.4148
784715	32.4148
785243	32.4148
785651	32.4148
786190	32.4148
786743	32.4148
787279	32.4148
787628	32.4148
788163	32.4148
788749	32.4148
789281	32.4148
789647	32.4148
790188	32.4148
790740	32.4148
791228	32.4148
791729	26.8635
792277	22.0757
792620	18.9303
793151	18.6648
793699	18.734
794298	18.9233
794798	19.35
795142	19.6197
795691	19.8716
796213	19.8716
796622	19.8716
797204	19.8716
797660	19.8716
798162	19.8716
798623	19.8716
799299	19.8716
799752	23.0635
800253	23.0635
800743	23.0635
801309	23.0635
801747	23.0635
802268	23.0635
802646	23.0635
803199	23.0635
803686	23.0635
804251	23.0635
804786	23.0635
805117	23.0635
805682	23.0635
806219	23.0635
806738	23.0635
